table,form,weighting,pre_vol_control,covariance,formula,term,coefficient,se,t,p,ci_low,ci_high,n,r_squared
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),Uncertainty_proportional_z,0.10426911939086547,0.04145293978633353,2.5153612730077493,0.021047013457555396,0.017507119292130183,0.19103111948960078,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_size,-0.1044704697362348,0.015961752154091582,-6.5450502380752225,2.8777072241424328e-06,-0.13787880094525212,-0.07106213852721749,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_turnover,0.32419364441937015,0.04508832735892822,7.190190087084137,7.874774817988969e-07,0.22982269068409714,0.4185645981546432,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),log_words,-0.04526756868735749,0.06829471387025761,-0.6628268298093206,0.5154027041234912,-0.18821004760673943,0.09767491023202446,1002,0.6258054089814773
Table 5,Pooled,proportional,False,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter),pre_return,0.040602667038735524,0.07299284251095901,0.5562554579599981,0.5845285776591435,-0.11217310813633907,0.19337844221381012,1002,0.6258054089814773
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,Intercept,1.218098542807958,0.41976555218593814,2.9018544672488815,0.009141360242193239,0.33951914487080326,2.0966779407451126,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(form)[T.10-Q],-0.012558742503587319,0.036347806261527275,-0.34551583149820664,0.7335026262033252,-0.08863557533393686,0.06351809032676221,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2021Q2],-0.23970667434377754,0.048718165982983334,-4.920272951726142,9.501693278522299e-05,-0.34167496763281824,-0.13773838105473682,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2021Q3],0.03505215698694117,0.010354965978222996,3.3850576680461897,0.003107715949587777,0.013378964111940773,0.05672534986194157,1002,0.7594840414587388
Table 5,Pooled,proportional,True,Firm and quarter clusters,log_post_vol ~ Uncertainty_proportional_z + log_size + log_turnover + log_words + pre_return + C(form) + C(quarter) + log_pre_vol,C(quarter)[T.2021Q4],0.33154508959673373,0.013498071676270153,24.56240398986737,7.37936644653042e-16,0.3032933008901728,0.35979687830329465,1002,0.7594840414587388
