form,quarter,time,Negative_proportional,Negative_tfidf,Uncertainty_proportional,Uncertainty_tfidf
10-K,2021Q1,0,0.01977074552737222,85.22209493456165,0.018606086920742552,15.996559237827336
10-K,2021Q2,1,0.01905550362244526,79.49210532096532,0.017669544113057274,16.245900519319033
10-K,2021Q3,2,0.019405044191948946,83.00516689068252,0.01873392851853666,16.819224540083123
10-K,2021Q4,3,0.019398621171721513,85.94344247578117,0.018129657132434685,16.31299125936669
10-K,2022Q1,4,0.020223286325897483,90.96934067953174,0.018804540603848542,17.451513950611073
10-K,2022Q2,5,0.021197437361167176,93.01230081448323,0.01876251395184827,16.87917793519917
10-K,2022Q3,6,0.020207566928181403,89.25521364599697,0.018828322590391952,15.70281633427857
10-K,2022Q4,7,0.019989757443838137,88.1796008153481,0.01878481628726399,17.25660640791945
10-K,2023Q1,8,0.020901312156549133,95.03755816248662,0.018893178643341644,16.787104613192323
10-K,2023Q2,9,0.021096263927871436,94.11806238947679,0.018613741500190246,15.393752294516885
10-K,2023Q3,10,0.020903192462890074,98.10178807005991,0.018801138991096346,15.66497573265329
10-K,2023Q4,11,0.021373634998644222,101.11426791727591,0.019583415355391053,16.040838081897064
10-K,2024Q1,12,0.021653178336444923,98.70918871362149,0.0193317315105896,15.479867224471215
10-K,2024Q2,13,0.021333389683675083,94.6415729858078,0.01909995404301872,15.483317890433398
10-K,2024Q3,14,0.022069419462846806,101.75608609995328,0.019402443802908877,15.42757969571047
10-K,2024Q4,15,0.022194247944015852,99.1692639913465,0.019633857802744462,14.388565669077568
10-K,2025Q1,16,0.021887178671530932,97.09458797639095,0.019439206895671038,14.832029738989672
10-K,2025Q2,17,0.023721388271053724,109.50735275144646,0.020073167344258708,15.84173931067916
10-K,2025Q3,18,0.022116863383803875,96.50933930130799,0.019340828779494675,16.86088310266466
10-K,2025Q4,19,0.021775072802208854,96.24996815622042,0.01904857950098995,16.03937474531758
10-Q,2021Q1,0,0.021578834235084166,98.42021551292083,0.019423844279633316,16.887616084629645
10-Q,2021Q2,1,0.020115810511894882,90.72273867812694,0.01996914683366405,16.275051652357263
10-Q,2021Q3,2,0.020910734261795193,96.1707005657036,0.018985045757049197,16.75843002669189
10-Q,2021Q4,3,0.02209492388288576,104.22241948302177,0.01974380444071566,17.937548345270997
10-Q,2022Q1,4,0.022731479692110174,100.85084963589888,0.019739717278652064,17.016675517929755
10-Q,2022Q2,5,0.02119751801658686,93.95456322299144,0.020108927004827973,16.625479719458447
10-Q,2022Q3,6,0.021431185203941293,96.39309023515827,0.019092408040189652,16.863659022994806
10-Q,2022Q4,7,0.022154866685044898,98.3681410347806,0.019001650264682295,16.891015459225933
10-Q,2023Q1,8,0.022245308785534847,101.09941410694688,0.019665430097784563,17.098068577645858
10-Q,2023Q2,9,0.022326896363665555,102.3216918507239,0.02021064867488338,17.020420911440855
10-Q,2023Q3,10,0.0211930508451998,96.50249888879969,0.018831066909168376,16.38666043177189
10-Q,2023Q4,11,0.021562908689743282,96.67694859029216,0.01868320169737145,16.30080095162448
10-Q,2024Q1,12,0.019858796792881595,87.65968469519468,0.018159722426871597,15.192627353556077
10-Q,2024Q2,13,0.019925323694121304,87.60440700418918,0.01880209715087096,14.959224670917843
10-Q,2024Q3,14,0.019950789279695996,87.4297321579413,0.018068402775541892,15.336432140474379
10-Q,2024Q4,15,0.020164376577645037,90.48098208949683,0.017976585673888063,15.545065474607844
10-Q,2025Q1,16,0.021563916085448585,90.78642713627328,0.01833698418159355,14.45552311928446
10-Q,2025Q2,17,0.01994672535727128,84.50541491638057,0.019086373629097254,14.504168349389902
10-Q,2025Q3,18,0.01983132486078818,86.82714177703224,0.018176979694153113,14.786722047156672
10-Q,2025Q4,19,0.02102921306560887,93.72421546516605,0.01863282448225939,15.490643689904514
