cik,ticker,company,form,category,filings,years,first_filing,last_filing,tokens,occurrences,mean_share_pct,pooled_share_pct
0001549595,NRIX,"Nurix Therapeutics, Inc.",All,Uncertainty,20,5,2021-02-16,2025-10-09,1239316,33316,2.7558668709380503,2.688257070835848
0001555279,MASS,908 Devices Inc.,All,Negative,19,5,2021-05-13,2025-11-10,406339,8690,1.5635114099399758,2.1386084033282553
0001555279,MASS,908 Devices Inc.,All,Uncertainty,19,5,2021-05-13,2025-11-10,406339,8325,1.7812171636288716,2.048781928389842
0001571949,ICE,"Intercontinental Exchange, Inc.",All,Negative,20,5,2021-02-04,2025-10-30,532156,7874,1.1872832619941223,1.4796413081878246
0001571949,ICE,"Intercontinental Exchange, Inc.",All,Uncertainty,20,5,2021-02-04,2025-10-30,532156,9120,1.5234049029362444,1.7137831763618188
0001576280,GH,"Guardant Health, Inc.",All,Negative,20,5,2021-02-25,2025-10-29,516660,11809,1.5350237357611514,2.285642395385747
0001576280,GH,"Guardant Health, Inc.",All,Uncertainty,20,5,2021-02-25,2025-10-29,516660,10943,1.7975693418288774,2.1180273293848955
0001581280,TWST,Twist Bioscience Corp,All,Negative,20,5,2021-02-09,2025-11-17,524941,15986,2.7285446703713085,3.04529461406139
0001581280,TWST,Twist Bioscience Corp,All,Uncertainty,20,5,2021-02-09,2025-11-17,524941,13642,2.3823872577496887,2.598768242526303
0001604821,NTRA,"Natera, Inc.",All,Negative,20,5,2021-02-26,2025-11-07,438092,10234,1.6604098400647007,2.3360390055056928
0001604821,NTRA,"Natera, Inc.",All,Uncertainty,20,5,2021-02-26,2025-11-07,438092,8470,1.6522847943288557,1.933383855445888
0001633917,PYPL,"PayPal Holdings, Inc.",All,Negative,20,5,2021-02-05,2025-10-28,410406,10732,2.4594954567085434,2.6149715160109746
0001633917,PYPL,"PayPal Holdings, Inc.",All,Uncertainty,20,5,2021-02-05,2025-10-28,410406,8233,1.9573273878344672,2.0060622895376774
0001640147,SNOW,Snowflake Inc.,All,Negative,20,5,2021-03-31,2025-12-05,719412,20166,2.8223827666931927,2.8031225500825676
0001640147,SNOW,Snowflake Inc.,All,Uncertainty,20,5,2021-03-31,2025-12-05,719412,17088,2.4003016346157486,2.3752731397307802
0001652130,NTLA,"Intellia Therapeutics, Inc.",All,Negative,20,5,2021-02-26,2025-11-06,1023190,31300,3.1327334470363475,3.0590603895659654
0001652130,NTLA,"Intellia Therapeutics, Inc.",All,Uncertainty,20,5,2021-02-26,2025-11-06,1023190,25083,2.5107906021706032,2.4514508546799716
0001672688,ABSI,Absci Corp,All,Negative,11,4,2021-11-09,2025-11-12,349185,8855,1.956436880457108,2.535905036012429
0001672688,ABSI,Absci Corp,All,Uncertainty,11,4,2021-11-09,2025-11-12,349185,8445,2.0167661656034443,2.4184887666996007
0001674416,CRSP,CRISPR Therapeutics AG,All,Negative,20,5,2021-02-16,2025-11-10,598187,13101,1.5708766296402332,2.190117805970374
0001674416,CRSP,CRISPR Therapeutics AG,All,Uncertainty,20,5,2021-02-16,2025-11-10,598187,11492,1.5833054756381544,1.9211383731174365
0001730168,AVGO,Broadcom Inc.,All,Negative,20,5,2021-03-12,2025-12-18,507753,16487,3.343051225108609,3.247051223724921
0001730168,AVGO,Broadcom Inc.,All,Uncertainty,20,5,2021-03-12,2025-12-18,507753,14480,2.9379644014834008,2.8517802947496125
0001745999,BEAM,Beam Therapeutics Inc.,All,Negative,20,5,2021-03-15,2025-11-04,766225,17406,1.8984513374204735,2.271656497765017
0001745999,BEAM,Beam Therapeutics Inc.,All,Uncertainty,20,5,2021-03-15,2025-11-04,766225,15775,1.760118701312886,2.0587947404483016
0001768224,ARCT,Arcturus Therapeutics Holdings Inc.,All,Negative,20,5,2021-03-01,2025-11-12,405138,8502,1.6384879196346085,2.0985441997541576
0001768224,ARCT,Arcturus Therapeutics Holdings Inc.,All,Uncertainty,20,5,2021-03-01,2025-11-12,405138,6845,1.4400840819347354,1.689547759035193
0001779128,SRTA,"Strata Critical Medical, Inc.",All,Negative,12,5,2021-05-24,2025-11-10,208281,4368,1.6913908542507288,2.0971668083022457
0001779128,SRTA,"Strata Critical Medical, Inc.",All,Uncertainty,12,5,2021-05-24,2025-11-10,208281,3392,1.3905522076103054,1.6285690965570552
0001816590,CMPS,COMPASS Pathways plc,All,Negative,16,4,2022-02-24,2025-11-04,1267849,40359,3.2461679270783024,3.1832655150573923
0001816590,CMPS,COMPASS Pathways plc,All,Uncertainty,16,4,2022-02-24,2025-11-04,1267849,31803,2.5613599463887775,2.508421744229794
0001818331,WGS,GeneDx Holdings Corp.,All,Negative,11,4,2021-11-15,2025-10-28,301987,8861,2.346313725386465,2.934232268276449
0001818331,WGS,GeneDx Holdings Corp.,All,Uncertainty,11,4,2021-11-15,2025-10-28,301987,7119,2.11149999281365,2.357386245103266
0001818874,SOFI,"SoFi Technologies, Inc.",All,Negative,18,5,2021-08-16,2025-11-06,1258807,35013,2.637014564936075,2.7814430647430464
0001818874,SOFI,"SoFi Technologies, Inc.",All,Uncertainty,18,5,2021-08-16,2025-11-06,1258807,28362,2.1841109203310527,2.2530856596761857
0001819848,JOBY,"Joby Aviation, Inc.",All,Negative,18,5,2021-08-13,2025-11-06,251900,4614,1.5408843539056556,1.8316792377927749
0001819848,JOBY,"Joby Aviation, Inc.",All,Uncertainty,18,5,2021-08-13,2025-11-06,251900,4970,1.8314879149553909,1.9730051607780865
0001819994,RKLB,Rocket Lab Corp,All,Negative,17,5,2021-11-15,2025-11-10,288323,6837,1.9584479150507452,2.371298855797144
0001819994,RKLB,Rocket Lab Corp,All,Uncertainty,17,5,2021-11-15,2025-11-10,288323,5915,1.8078848092146895,2.0515186093374447
0001824502,ACHR,Archer Aviation Inc.,All,Negative,3,1,2025-05-12,2025-11-06,25207,310,1.1845620772069874,1.2298171142936485
0001824502,ACHR,Archer Aviation Inc.,All,Uncertainty,3,1,2025-05-12,2025-11-06,25207,426,1.667988028014003,1.6900067441583686
0001828108,AUR,"Aurora Innovation, Inc.",All,Negative,1,1,2021-11-15,2021-11-15,7039,89,1.2643841454752096,1.2643841454752096
0001828108,AUR,"Aurora Innovation, Inc.",All,Uncertainty,1,1,2021-11-15,2021-11-15,7039,84,1.193351328313681,1.193351328313681
0001829311,BMNR,"BITMINE IMMERSION TECHNOLOGIES, INC.",All,Negative,1,1,2025-11-21,2025-11-21,17774,491,2.7624620231799257,2.7624620231799257
0001829311,BMNR,"BITMINE IMMERSION TECHNOLOGIES, INC.",All,Uncertainty,1,1,2025-11-21,2025-11-21,17774,459,2.582423765050073,2.582423765050073
0001844452,LUNR,"Intuitive Machines, Inc.",All,Negative,1,1,2023-03-31,2023-03-31,45047,913,2.026772038093547,2.026772038093547
0001844452,LUNR,"Intuitive Machines, Inc.",All,Uncertainty,1,1,2023-03-31,2023-03-31,45047,774,1.718205429884343,1.718205429884343
0001849056,OKLO,Oklo Inc.,All,Negative,6,2,2024-08-14,2025-11-12,83360,1666,1.5606852419331085,1.998560460652591
0001849056,OKLO,Oklo Inc.,All,Uncertainty,6,2,2024-08-14,2025-11-12,83360,1810,1.8813701594672498,2.1713051823416505
0001894562,PRME,"Prime Medicine, Inc.",All,Negative,10,3,2023-03-09,2025-11-07,325413,7624,1.7238041387285623,2.3428689081259813
0001894562,PRME,"Prime Medicine, Inc.",All,Uncertainty,10,3,2023-03-09,2025-11-07,325413,7506,1.9998819910885355,2.3066072959592887
0002017526,FRNM,"Freenome, Inc.",All,Negative,1,1,2025-03-19,2025-03-19,61724,1182,1.9149763463158578,1.9149763463158578
0002017526,FRNM,"Freenome, Inc.",All,Uncertainty,1,1,2025-03-19,2025-03-19,61724,1273,2.0624068433672478,2.0624068433672478
0000002488,AMD,ADVANCED MICRO DEVICES INC,10-K,Negative,5,5,2021-01-29,2025-02-05,199893,4950,2.4781044255705513,2.4763248337860757
0000002488,AMD,ADVANCED MICRO DEVICES INC,10-K,Uncertainty,5,5,2021-01-29,2025-02-05,199893,4153,2.0765155107263467,2.077611522164358
0000018230,CAT,CATERPILLAR INC,10-K,Negative,5,5,2021-02-17,2025-02-14,172312,3283,1.9062662080423922,1.9052648683782905
0000018230,CAT,CATERPILLAR INC,10-K,Uncertainty,5,5,2021-02-17,2025-02-14,172312,2917,1.6937285740889596,1.69285946422768
0000059478,LLY,ELI LILLY & Co,10-K,Negative,5,5,2021-02-17,2025-02-19,176186,4402,2.4938954546757652,2.498495907733872
0000059478,LLY,ELI LILLY & Co,10-K,Uncertainty,5,5,2021-02-17,2025-02-19,176186,3371,1.9122996488904427,1.9133188789120588
0000097210,TER,"TERADYNE, INC",10-K,Negative,5,5,2021-02-22,2025-02-20,138586,2486,1.795882991347296,1.7938319888011776
0000097210,TER,"TERADYNE, INC",10-K,Uncertainty,5,5,2021-02-22,2025-02-20,138586,2408,1.738327284569381,1.737549247398727
0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",10-K,Negative,5,5,2021-03-01,2025-02-14,218206,4967,2.292540815934475,2.27628937792728
0000202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",10-K,Uncertainty,5,5,2021-03-01,2025-02-14,218206,4039,1.86722829415352,1.85100318048083
0000315189,DE,DEERE & CO,10-K,Negative,5,5,2021-12-16,2025-12-18,154641,3579,2.3246886288314754,2.314392690166256
0000315189,DE,DEERE & CO,10-K,Uncertainty,5,5,2021-12-16,2025-12-18,154641,2833,1.8372771162773156,1.8319850492430856
0000773840,HON,HONEYWELL INTERNATIONAL INC,10-K,Negative,5,5,2021-02-12,2025-02-14,147344,2962,2.0121310211177055,2.0102617005103705
0000773840,HON,HONEYWELL INTERNATIONAL INC,10-K,Uncertainty,5,5,2021-02-12,2025-02-14,147344,2448,1.660080449861939,1.6614181778694754
0000864749,TRMB,TRIMBLE INC.,10-K,Negative,5,5,2021-02-26,2025-04-25,159038,3436,2.1578862095431437,2.1604899457991174
0000864749,TRMB,TRIMBLE INC.,10-K,Uncertainty,5,5,2021-02-26,2025-04-25,159038,3008,1.8922244743569039,1.89137187338875
0000874015,IONS,IONIS PHARMACEUTICALS INC,10-K,Negative,5,5,2021-02-24,2025-02-19,259041,4296,1.658319371929452,1.65842472813184
0000874015,IONS,IONIS PHARMACEUTICALS INC,10-K,Uncertainty,5,5,2021-02-24,2025-02-19,259041,3719,1.4355695557541497,1.435680066089924
0000883241,SNPS,SYNOPSYS INC,10-K,Negative,5,5,2021-12-13,2025-12-22,161109,3630,2.2485660527915887,2.2531329720872204
0000883241,SNPS,SYNOPSYS INC,10-K,Uncertainty,5,5,2021-12-13,2025-12-22,161109,3417,2.1174180261223863,2.1209243431465654
0000896878,INTU,INTUIT INC.,10-K,Negative,5,5,2021-09-08,2025-09-03,190364,4443,2.3343031612924863,2.3339496963711626
0000896878,INTU,INTUIT INC.,10-K,Uncertainty,5,5,2021-09-08,2025-09-03,190364,3665,1.9252832161197457,1.9252589775377698
0000936468,LMT,LOCKHEED MARTIN CORP,10-K,Negative,5,5,2021-01-28,2025-01-28,223139,4102,1.842928769563823,1.838316027229664
0000936468,LMT,LOCKHEED MARTIN CORP,10-K,Uncertainty,5,5,2021-01-28,2025-01-28,223139,4404,1.9727265629620927,1.973657675260712
0001018724,AMZN,AMAZON COM INC,10-K,Negative,5,5,2021-02-03,2025-02-07,111217,2522,2.2656003938859057,2.267638940090094
0001018724,AMZN,AMAZON COM INC,10-K,Uncertainty,5,5,2021-02-03,2025-02-07,111217,2058,1.8504262482249523,1.8504365339831141
0001020214,CERS,CERUS CORP,10-K,Negative,2,2,2021-02-25,2022-02-22,132954,3739,2.8089838099965183,2.812250853678716
0001020214,CERS,CERUS CORP,10-K,Uncertainty,2,2,2021-02-25,2022-02-22,132954,2986,2.245733642379409,2.2458895557862117
0001035267,ISRG,INTUITIVE SURGICAL INC,10-K,Negative,5,5,2021-02-10,2025-01-31,329638,8615,2.604431168564091,2.6134729612484
0001035267,ISRG,INTUITIVE SURGICAL INC,10-K,Uncertainty,5,5,2021-02-10,2025-01-31,329638,7313,2.215240856919489,2.218494227000528
0001045810,NVDA,NVIDIA CORP,10-K,Negative,5,5,2021-02-26,2025-02-26,165656,3973,2.383644689684787,2.398343555319457
0001045810,NVDA,NVIDIA CORP,10-K,Uncertainty,5,5,2021-02-26,2025-02-26,165656,3334,2.002682764972392,2.0126044332834305
0001065280,NFLX,NETFLIX INC,10-K,Negative,5,5,2021-01-28,2025-01-27,110914,2729,2.4596256060639328,2.4604648646699245
0001065280,NFLX,NETFLIX INC,10-K,Uncertainty,5,5,2021-01-28,2025-01-27,110914,2660,2.3982084253216263,2.39825450348919
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",10-K,Negative,5,5,2021-02-25,2025-02-26,234722,7074,3.013223767681783,3.0137780012099418
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",10-K,Uncertainty,5,5,2021-02-25,2025-02-26,234722,5777,2.4615710703007645,2.461209430730822
0001094285,TDY,TELEDYNE TECHNOLOGIES INC,10-K,Negative,5,5,2021-02-26,2025-02-21,164680,3745,2.2855686328729155,2.274107359727957
0001094285,TDY,TELEDYNE TECHNOLOGIES INC,10-K,Uncertainty,5,5,2021-02-26,2025-02-21,164680,3452,2.0985559820596995,2.0961865435997087
0001099590,MELI,MERCADOLIBRE INC,10-K,Negative,5,5,2021-03-01,2025-02-21,245727,5837,2.371541848880974,2.3754003426566883
0001099590,MELI,MERCADOLIBRE INC,10-K,Uncertainty,5,5,2021-03-01,2025-02-21,245727,4529,1.8410919186247703,1.8431023045900532
0001110803,ILMN,"ILLUMINA, INC.",10-K,Negative,5,5,2021-02-17,2025-02-12,154672,3583,2.3110609237811692,2.316514947760422
0001110803,ILMN,"ILLUMINA, INC.",10-K,Uncertainty,5,5,2021-02-17,2025-02-12,154672,3703,2.3947776563921637,2.3940984793627806
0001121788,GRMN,GARMIN LTD,10-K,Negative,5,5,2021-02-17,2025-02-19,136708,2876,2.105677904101841,2.103753986599175
0001121788,GRMN,GARMIN LTD,10-K,Uncertainty,5,5,2021-02-17,2025-02-19,136708,2622,1.9174567839054628,1.9179565204669806
0001217234,CDNA,"CareDx, Inc.",10-K,Negative,5,5,2021-02-24,2025-02-28,294376,8773,2.9830372345460736,2.980202190395956
0001217234,CDNA,"CareDx, Inc.",10-K,Uncertainty,5,5,2021-02-24,2025-02-28,294376,6139,2.090935630102142,2.08542815990434
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",10-K,Negative,4,4,2021-02-26,2024-02-28,186836,5570,2.9760851553611403,2.981224175212486
0001299130,PACB,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",10-K,Uncertainty,4,4,2021-02-26,2024-02-28,186836,4910,2.6202350760947084,2.627973195743861
0001318605,TSLA,"Tesla, Inc.",10-K,Negative,5,5,2021-02-08,2025-01-30,175676,3651,2.0893140927245883,2.078257701678089
0001318605,TSLA,"Tesla, Inc.",10-K,Uncertainty,5,5,2021-02-08,2025-01-30,175676,3206,1.8309002744167149,1.824950477014504
0001368622,AVAV,AeroVironment Inc,10-K,Negative,5,5,2021-06-29,2025-06-25,252861,6682,2.64319502076593,2.6425585598411776
0001368622,AVAV,AeroVironment Inc,10-K,Uncertainty,5,5,2021-06-29,2025-06-25,252861,5368,2.123099816854052,2.122905469803568
0001384101,VCYT,"VERACYTE, INC.",10-K,Negative,5,5,2021-02-22,2025-02-28,311944,7711,2.473467580429768,2.4719180365706666
0001384101,VCYT,"VERACYTE, INC.",10-K,Uncertainty,5,5,2021-02-22,2025-02-28,311944,6840,2.1940372456406045,2.1927012540712436
0001418819,IRDM,Iridium Communications Inc.,10-K,Negative,5,5,2021-02-11,2025-02-13,207111,3987,1.925452333741698,1.9250546808233266
0001418819,IRDM,Iridium Communications Inc.,10-K,Uncertainty,5,5,2021-02-11,2025-02-13,207111,3211,1.550757627757396,1.5503763682276654
0001474432,P,"Everpure, Inc.",10-K,Negative,5,5,2021-03-25,2025-03-27,152705,4084,2.6751993780538896,2.6744376412036277
0001474432,P,"Everpure, Inc.",10-K,Uncertainty,5,5,2021-03-25,2025-03-27,152705,3460,2.2666142617931655,2.2658066206083625
0001478320,ADPT,Adaptive Biotechnologies Corp,10-K,Negative,5,5,2021-02-24,2025-03-03,342491,10291,3.0155740465488745,3.0047504897938926
0001478320,ADPT,Adaptive Biotechnologies Corp,10-K,Uncertainty,5,5,2021-02-24,2025-03-03,342491,7488,2.19052806602252,2.186334823396819
0001486957,BWXT,"BWX Technologies, Inc.",10-K,Negative,5,5,2021-02-22,2025-02-24,163365,4337,2.654589532696746,2.6547914179903898
0001486957,BWXT,"BWX Technologies, Inc.",10-K,Uncertainty,5,5,2021-02-22,2025-02-24,163365,3323,2.0340587098610294,2.0340954304777643
0001527753,PSNL,"Personalis, Inc.",10-K,Negative,4,4,2021-02-25,2025-02-27,265413,8389,3.171326761772512,3.1607344026102715
0001527753,PSNL,"Personalis, Inc.",10-K,Uncertainty,4,4,2021-02-25,2025-02-27,265413,6093,2.2973784741008827,2.295667506866657
0001549595,NRIX,"Nurix Therapeutics, Inc.",10-K,Negative,5,5,2021-02-16,2025-01-28,425742,11404,2.6782666884476876,2.6786175665074152
0001549595,NRIX,"Nurix Therapeutics, Inc.",10-K,Uncertainty,5,5,2021-02-16,2025-01-28,425742,9476,2.2257101472857066,2.225761141724331
0001555279,MASS,908 Devices Inc.,10-K,Negative,4,4,2022-03-11,2025-03-07,220248,5775,2.6221449428004484,2.622044241037376
0001555279,MASS,908 Devices Inc.,10-K,Uncertainty,4,4,2022-03-11,2025-03-07,220248,4956,2.250005280039395,2.250190694126621
0001571949,ICE,"Intercontinental Exchange, Inc.",10-K,Negative,5,5,2021-02-04,2025-02-06,282210,5529,1.956749309943381,1.9591793345381099
0001571949,ICE,"Intercontinental Exchange, Inc.",10-K,Uncertainty,5,5,2021-02-04,2025-02-06,282210,5718,2.0256408266004655,2.0261507388115234
0001576280,GH,"Guardant Health, Inc.",10-K,Negative,5,5,2021-02-25,2025-02-20,357701,10049,2.8092405916859686,2.8093295797327937
0001576280,GH,"Guardant Health, Inc.",10-K,Uncertainty,5,5,2021-02-25,2025-02-20,357701,8377,2.3415419281986485,2.341900078557231
0001581280,TWST,Twist Bioscience Corp,10-K,Negative,5,5,2021-11-23,2025-11-17,219892,6078,2.7688651680999588,2.7640841867826023
0001581280,TWST,Twist Bioscience Corp,10-K,Uncertainty,5,5,2021-11-23,2025-11-17,219892,5203,2.3684939097219524,2.3661615702253833
0001604821,NTRA,"Natera, Inc.",10-K,Negative,5,5,2021-02-26,2025-02-28,297750,8455,2.843619516772494,2.8396305625524767
