cik,ticker,company,form,category,filings,years,first_filing,last_filing,tokens,occurrences,mean_share_pct,pooled_share_pct
0001555279,MASS,908 Devices Inc.,10-Q,Negative,15,5,2021-05-13,2025-11-10,186091,2915,1.2812091345105163,1.5664379255310574
0001555279,MASS,908 Devices Inc.,10-Q,Uncertainty,15,5,2021-05-13,2025-11-10,186091,3369,1.6562069992527317,1.810404587003133
0001571949,ICE,"Intercontinental Exchange, Inc.",10-Q,Negative,15,5,2021-04-29,2025-10-30,249946,2345,0.9307945793443693,0.938202651772783
0001571949,ICE,"Intercontinental Exchange, Inc.",10-Q,Uncertainty,15,5,2021-04-29,2025-10-30,249946,3402,1.355992928381504,1.3610939963032014
0001576280,GH,"Guardant Health, Inc.",10-Q,Negative,15,5,2021-05-06,2025-10-29,158959,1760,1.1102847837862124,1.1072037443617537
0001576280,GH,"Guardant Health, Inc.",10-Q,Uncertainty,15,5,2021-05-06,2025-10-29,158959,2566,1.6162451463722873,1.6142527318365114
0001581280,TWST,Twist Bioscience Corp,10-Q,Negative,15,5,2021-02-09,2025-08-04,305049,9908,2.7151045044617583,3.248002779881265
0001581280,TWST,Twist Bioscience Corp,10-Q,Uncertainty,15,5,2021-02-09,2025-08-04,305049,8439,2.3870183737589343,2.7664408013138875
0001604821,NTRA,"Natera, Inc.",10-Q,Negative,15,5,2021-05-07,2025-11-07,140342,1779,1.2660066144954363,1.2676176768180587
0001604821,NTRA,"Natera, Inc.",10-Q,Uncertainty,15,5,2021-05-07,2025-11-07,140342,2088,1.4882669276098321,1.4877941029770132
0001633917,PYPL,"PayPal Holdings, Inc.",10-Q,Negative,15,5,2021-05-06,2025-10-28,224215,5272,2.3014053423231826,2.351314586446045
0001633917,PYPL,"PayPal Holdings, Inc.",10-Q,Uncertainty,15,5,2021-05-06,2025-10-28,224215,4300,1.9055674600051704,1.9178021095823206
0001640147,SNOW,Snowflake Inc.,10-Q,Negative,15,5,2021-06-04,2025-12-05,502974,15015,2.972858908163075,2.9852437700557086
0001640147,SNOW,Snowflake Inc.,10-Q,Uncertainty,15,5,2021-06-04,2025-12-05,502974,12645,2.5167437309993614,2.514046451705257
0001652130,NTLA,"Intellia Therapeutics, Inc.",10-Q,Negative,15,5,2021-05-06,2025-11-06,662323,21858,3.30353431425315,3.3002024691879943
0001652130,NTLA,"Intellia Therapeutics, Inc.",10-Q,Uncertainty,15,5,2021-05-06,2025-11-06,662323,17501,2.6465060135179823,2.642366337874421
0001672688,ABSI,Absci Corp,10-Q,Negative,8,4,2021-11-09,2025-11-12,157496,3745,1.6910548652045003,2.377838167318535
0001672688,ABSI,Absci Corp,10-Q,Uncertainty,8,4,2021-11-09,2025-11-12,157496,3589,1.8232090545657493,2.278788032711942
0001674416,CRSP,CRISPR Therapeutics AG,10-Q,Negative,15,5,2021-04-27,2025-11-10,135640,1730,1.274704686589435,1.275434974933648
0001674416,CRSP,CRISPR Therapeutics AG,10-Q,Uncertainty,15,5,2021-04-27,2025-11-10,135640,1923,1.4210540577026727,1.417723385432026
0001730168,AVGO,Broadcom Inc.,10-Q,Negative,15,5,2021-03-12,2025-09-10,332166,11756,3.5581633959396384,3.5391942582925404
0001730168,AVGO,Broadcom Inc.,10-Q,Uncertainty,15,5,2021-03-12,2025-09-10,332166,10443,3.1512093065836186,3.1439099727244812
0001745999,BEAM,Beam Therapeutics Inc.,10-Q,Negative,15,5,2021-05-11,2025-11-04,237273,4130,1.6945508528865034,1.7406110261175944
0001745999,BEAM,Beam Therapeutics Inc.,10-Q,Uncertainty,15,5,2021-05-11,2025-11-04,237273,3810,1.592714127714733,1.605745280752551
0001768224,ARCT,Arcturus Therapeutics Holdings Inc.,10-Q,Negative,15,5,2021-05-10,2025-11-12,147857,2004,1.3433685946764624,1.3553636283706554
0001768224,ARCT,Arcturus Therapeutics Holdings Inc.,10-Q,Uncertainty,15,5,2021-05-10,2025-11-12,147857,1884,1.2769073866303187,1.2742041296658257
0001779128,SRTA,"Strata Critical Medical, Inc.",10-Q,Negative,10,5,2021-05-24,2025-11-10,125393,2206,1.5077779543944136,1.7592688587082213
0001779128,SRTA,"Strata Critical Medical, Inc.",10-Q,Uncertainty,10,5,2021-05-24,2025-11-10,125393,1795,1.2831078264871065,1.431499365993317
0001816590,CMPS,COMPASS Pathways plc,10-Q,Negative,12,4,2022-05-10,2025-11-04,835502,28561,3.4182330476738763,3.4184238936591416
0001816590,CMPS,COMPASS Pathways plc,10-Q,Uncertainty,12,4,2022-05-10,2025-11-04,835502,22608,2.706098541887543,2.7059181186879266
0001818331,WGS,GeneDx Holdings Corp.,10-Q,Negative,9,4,2021-11-15,2025-10-28,194273,5410,2.1556144345265253,2.7847410602605613
0001818331,WGS,GeneDx Holdings Corp.,10-Q,Uncertainty,9,4,2021-11-15,2025-10-28,194273,4536,2.0470631158720547,2.3348586782517384
0001818874,SOFI,"SoFi Technologies, Inc.",10-Q,Negative,14,5,2021-08-16,2025-11-06,877899,25075,2.6459015396206236,2.8562511177253875
0001818874,SOFI,"SoFi Technologies, Inc.",10-Q,Uncertainty,14,5,2021-08-16,2025-11-06,877899,20304,2.2038075275798485,2.312794524199253
0001819848,JOBY,"Joby Aviation, Inc.",10-Q,Negative,14,5,2021-08-13,2025-11-06,122444,1630,1.322288645116465,1.331220802979321
0001819848,JOBY,"Joby Aviation, Inc.",10-Q,Uncertainty,14,5,2021-08-13,2025-11-06,122444,2110,1.7232017293684823,1.7232367449609618
0001819994,RKLB,Rocket Lab Corp,10-Q,Negative,13,5,2021-11-15,2025-11-10,121676,2037,1.6747027748281842,1.6741181498405602
0001819994,RKLB,Rocket Lab Corp,10-Q,Uncertainty,13,5,2021-11-15,2025-11-10,121676,1991,1.6394980415478635,1.6363128307965416
0001824502,ACHR,Archer Aviation Inc.,10-Q,Negative,3,1,2025-05-12,2025-11-06,25207,310,1.1845620772069874,1.2298171142936485
0001824502,ACHR,Archer Aviation Inc.,10-Q,Uncertainty,3,1,2025-05-12,2025-11-06,25207,426,1.667988028014003,1.6900067441583686
0001828108,AUR,"Aurora Innovation, Inc.",10-Q,Negative,1,1,2021-11-15,2021-11-15,7039,89,1.2643841454752096,1.2643841454752096
0001828108,AUR,"Aurora Innovation, Inc.",10-Q,Uncertainty,1,1,2021-11-15,2021-11-15,7039,84,1.193351328313681,1.193351328313681
0001849056,OKLO,Oklo Inc.,10-Q,Negative,5,2,2024-08-14,2025-11-12,47401,612,1.286599091676831,1.291112001856501
0001849056,OKLO,Oklo Inc.,10-Q,Uncertainty,5,2,2024-08-14,2025-11-12,47401,805,1.6986742533757728,1.6982764076707242
0001894562,PRME,"Prime Medicine, Inc.",10-Q,Negative,8,3,2023-05-11,2025-11-07,111882,2599,1.5628483524433312,2.322983142954184
0001894562,PRME,"Prime Medicine, Inc.",10-Q,Uncertainty,8,3,2023-05-11,2025-11-07,111882,2773,1.9417707489199545,2.478504138288554
